130	4.33380000000000e-19
131	3.97690000000000e-19
132	1.26670000000000e-18
133	2.19270000000000e-18
134	2.12590000000000e-18
135	5.94630000000000e-18
136	7.64540000000000e-18
137	1.19410000000000e-17
138	1.37120000000000e-17
139	1.42230000000000e-17
140	1.44000000000000e-17
141	1.44140000000000e-17
142	1.44480000000000e-17
143	1.41970000000000e-17
144	1.41980000000000e-17
145	1.39300000000000e-17
146	1.36770000000000e-17
147	1.33180000000000e-17
148	1.27220000000000e-17
149	1.21810000000000e-17
150	1.15610000000000e-17
151	1.08390000000000e-17
152	1.01020000000000e-17
153	9.14620000000000e-18
154	8.43190000000000e-18
155	7.81710000000000e-18
156	7.01380000000000e-18
157	6.28260000000000e-18
158	5.65090000000000e-18
159	4.95050000000000e-18
160	4.40870000000000e-18
161	3.85450000000000e-18
162	3.37740000000000e-18
163	2.88380000000000e-18
164	2.46940000000000e-18
165	2.04810000000000e-18
166	1.72940000000000e-18
167	1.42390000000000e-18
168	1.20290000000000e-18
169	9.74050000000000e-19
170	7.85030000000000e-19
171	6.25830000000000e-19
172	5.09360000000000e-19
173	4.07750000000000e-19
174	3.15570000000000e-19
175	2.32910000000000e-19
